,date,open,high,low,close,volume,change,vwap,changeOverTime
899,2017-09-15,72.8778,73.4232,72.1376,73.3453,38578441,0.525914,73.0339,1.1708142184863999
900,2017-09-18,73.2674,73.9881,73.0823,73.1992,23306959,-0.146087,73.4389,1.1664900701453225
901,2017-09-19,73.2479,73.7349,73.0531,73.4719,16093344,0.27269499999999997,73.4617,1.1745612217716876
902,2017-09-20,73.3843,73.579,72.3714,72.9849,21587878,-0.48695600000000006,72.9779,1.1601473939680942
903,2017-09-21,73.1505,73.2771,72.1766,72.274,19186140,-0.710955,72.5571,1.13910675703673
904,2017-09-22,72.0597,72.5662,71.9234,72.4688,14111365,0.19478199999999998,72.3418,1.1448722881581674
905,2017-09-25,72.1571,72.313,71.0176,71.3488,24149163,-1.12,71.3476,1.1117234439281378
906,2017-09-26,71.7481,71.8844,71.0858,71.3488,18019577,0.0,71.4379,1.1117234439281378
907,2017-09-27,71.6312,72.235,71.2611,71.9234,19565135,0.5746060000000001,71.8177,1.128729984905437
908,2017-09-28,71.6215,72.0403,71.3975,71.9429,10883787,0.019479,71.8152,1.1293071299612276
909,2017-09-29,72.01100000000001,72.5905,71.9526,72.5467,17079114,0.603824,72.4076,1.147177908663095
910,2017-10-02,72.7609,73.0531,72.3568,72.6636,15304762,0.11687,72.7515,1.1506378192796047
911,2017-10-03,72.722,72.9265,72.2594,72.3227,12190403,-0.34086900000000003,72.4501,1.1405481398170894
912,2017-10-04,72.0695,72.7707,71.78699999999999,72.7415,13317681,0.418782,72.3435,1.1529434397845326
913,2017-10-05,73.2576,74.1342,73.0044,73.9881,21195261,1.2466,73.6953,1.1898392872998491
914,2017-10-06,73.6959,74.0465,73.5693,74.0173,13959814,0.029217,73.8469,1.190703525024418
915,2017-10-09,73.9881,74.5529,73.8809,74.2997,11386502,0.282435,74.2962,1.1990617693195609
916,2017-10-10,74.3387,74.6309,74.1536,74.2997,13944545,0.0,74.3637,1.1990617693195609
917,2017-10-11,74.3679,74.4653,73.9686,74.4263,15388898,0.126608,74.2708,1.2028087726048478
918,2017-10-12,74.4945,75.2736,74.3776,75.1081,16876538,0.681739,75.0119,1.2229881315298785
919,2017-10-13,75.5658,75.8385,75.2736,75.4684,15335742,0.360346,75.5043,1.2336519963299497
920,2017-10-16,75.4002,75.7801,75.3321,75.6243,12380093,0.155826,75.5394,1.2382661970580402
921,2017-10-17,75.4489,75.595,75.2347,75.5658,16823989,-0.058434,75.4336,1.236534761890668
922,2017-10-18,75.6437,75.819,75.3516,75.5853,13300701,0.019478,75.6358,1.237111906946459
923,2017-10-19,75.5463,75.8969,75.3321,75.8775,15092758,0.292174,75.679,1.2457602036286146
924,2017-10-20,76.2768,76.9098,76.1794,76.75399999999999,22866426,0.876519,76.5978,1.2717021339568475
925,2017-10-23,76.9293,77.2702,76.7053,76.7735,20627173,0.019479,76.9356,1.2722792790126378
926,2017-10-24,76.8416,77.1338,76.4131,76.8027,17517182,0.029218,76.829,1.2731435167372067
927,2017-10-25,76.53,77.0364,75.9749,76.5787,20410808,-0.22399899999999998,76.5192,1.2665137478912007
928,2017-10-26,77.1338,77.3481,76.6956,76.7053,32120717,0.126607,76.9953,1.2702607511764878
929,2017-10-27,82.1689,83.9512,81.4288,81.6235,71066729,4.9183,82.3934,1.4158256134016045
930,2017-10-30,81.5164,82.1251,80.9369,81.7015,31756653,0.077915,81.6188,1.4181341936247667
931,2017-10-31,82.1592,82.1592,80.9418,81.01,27086575,-0.6914779999999999,81.3008,1.3976677420309591
932,2017-11-01,81.4969,81.5749,80.7178,81.01,22307371,0.0,81.0638,1.3976677420309591
933,2017-11-02,81.1755,82.2566,80.9515,81.8573,23992945,0.847303,81.6635,1.4227454346346229
934,2017-11-03,81.8865,82.3345,81.2242,81.9449,17633543,0.087653,81.8332,1.4253381478083291
935,2017-11-06,82.0034,82.4903,81.8889,82.2663,19860852,0.321389,82.1949,1.4348506822150533
936,2017-11-07,82.5585,82.6851,81.7404,82.0715,17939727,-0.19478199999999998,82.0095,1.4290851510936158
937,2017-11-08,81.9449,82.4027,81.643,82.354,18034170,0.282435,82.1002,1.4374463551069938
938,2017-11-09,81.9157,82.0715,80.7373,81.8962,21171550,-0.45773800000000003,81.5169,1.4238967650279692
939,2017-11-10,81.6041,81.9011,81.0587,81.682,19397793,-0.214261,81.4881,1.4175570485689764
940,2017-11-13,81.4775,81.7502,81.2827,81.7404,14196896,0.058435,81.5418,1.4192855240181137
941,2017-11-14,81.3216,81.906,80.8152,81.8573,18801280,0.116869,81.4392,1.4227454346346229
942,2017-11-15,81.7007,81.916,80.9372,81.2211,19383102,-0.636223,81.3684,1.4039157072246724
943,2017-11-16,81.3385,81.6517,81.1819,81.4364,20962750,0.215337,81.4288,1.4102879805842483
944,2017-11-17,81.3581,81.3581,80.4967,80.6534,22078993,-0.783045,80.7782,1.3871133868055765
945,2017-11-20,80.6534,80.8393,80.5065,80.7806,16314978,0.127246,80.7257,1.3908781484002726
946,2017-11-21,80.9862,82.0628,80.9862,81.9454,21237454,1.1648,81.8311,1.4253529463995032
947,2017-11-22,82.053,82.1216,81.2798,81.3483,20553089,-0.59707,81.5432,1.4076804688193685
948,2017-11-24,81.2504,81.6615,81.0253,81.4951,7425603,0.146821,81.4073,1.4120253351880903
949,2017-11-27,81.5441,82.1999,81.5343,82.0922,18265242,0.597069,82.0305,1.4296978127682247
950,2017-11-28,82.288,83.257,82.23899999999999,83.0808,21925959,0.98859,82.92399999999999,1.4589575872376952
951,2017-11-29,82.9144,83.1172,81.4119,81.5734,27381109,-1.5074,82.0465,1.4143427945659577
952,2017-11-30,81.7398,82.7284,81.5734,82.3858,33054647,0.8124060000000001,82.2577,1.4383875455056683
953,2017-12-01,81.8279,83.0123,81.456,82.4739,29532132,0.08809299999999999,82.2272,1.440995057270548
954,2017-12-04,82.6305,82.6402,78.9894,79.3613,39094880,-3.1126,80.1735,1.348870867493415
